file,reason,detail
pdfs/updated/EN/06.Act 356 Revised.pdf,needs_ocr,0/14 text pages
pdfs/updated/EN/07.Act 356 Reprint 2001.pdf,needs_ocr,0/14 text pages
pdfs/updated/EN/1074_001.pdf,needs_ocr,0/31 text pages
pdfs/updated/EN/465 BI_REPEALED.pdf,needs_ocr,0/1 text pages
pdfs/updated/EN/502 REPRINT 2002.pdf,needs_ocr,0/71 text pages
pdfs/updated/EN/556 Repealed by Act 679.pdf,repealed_in_filename,556 Repealed by Act 679
pdfs/updated/EN/575 BM (Dimansuhkan).pdf,no_sections_matched,1p
pdfs/updated/EN/577 BI.pdf,no_sections_matched,1p
pdfs/updated/EN/762 BI-Repealed Act.pdf,repealed_in_filename,762 BI-Repealed Act
pdfs/updated/EN/A240 PARTNERSHIP 1974 AMEND_repaired.pdf,needs_ocr,0/4 text pages
pdfs/updated/EN/act  211-repealed.pdf,repealed_in_filename,act  211-repealed
pdfs/updated/EN/Act 102-repealed.pdf,repealed_in_filename,Act 102-repealed
pdfs/updated/EN/Act 114.pdf,no_sections_matched,9p
pdfs/updated/EN/ACT 115 - REPRINT 2006.pdf,needs_ocr,0/11 text pages
pdfs/updated/EN/ACT 119- REPRINT 2000 (BI).pdf,needs_ocr,0/14 text pages
pdfs/updated/EN/Act 12.pdf,no_sections_matched,10p
pdfs/updated/EN/Act 125 - Repealed by Act 777.pdf,repealed_in_filename,Act 125 - Repealed by Act 777
pdfs/updated/EN/ACT 13 REVISED 1969.pdf,needs_ocr,0/5 text pages
pdfs/updated/EN/Act 136.pdf,no_sections_matched,91p
pdfs/updated/EN/Act 151 revoked.pdf,needs_ocr,0/1 text pages
pdfs/updated/EN/Act 157 - (Repealed by Act 549).pdf,repealed_in_filename,Act 157 - (Repealed by Act 549)
pdfs/updated/EN/Act 168 - Repeal by Act 645.pdf,repealed_in_filename,Act 168 - Repeal by Act 645
pdfs/updated/EN/Act 179.pdf,no_sections_matched,2p
pdfs/updated/EN/Act 182.pdf,no_sections_matched,2p
pdfs/updated/EN/Act 184.pdf,no_sections_matched,12p
pdfs/updated/EN/Act 186 (Repealed).pdf,repealed_in_filename,Act 186 (Repealed)
pdfs/updated/EN/Act 192 (Repealed).pdf,repealed_in_filename,Act 192 (Repealed)
pdfs/updated/EN/Act 195 Repealed.pdf,repealed_in_filename,Act 195 Repealed
pdfs/updated/EN/Act 198.pdf,no_sections_matched,10p
pdfs/updated/EN/Act 199 Repealed.pdf,repealed_in_filename,Act 199 Repealed
pdfs/updated/EN/ACT 20.pdf,needs_ocr,0/25 text pages
pdfs/updated/EN/Act 205.pdf,no_sections_matched,8p
pdfs/updated/EN/act 210-repealed.pdf,repealed_in_filename,act 210-repealed
pdfs/updated/EN/Act 214.pdf,no_sections_matched,2p
pdfs/updated/EN/Act 215.pdf,no_sections_matched,2p
pdfs/updated/EN/Act 218.pdf,no_sections_matched,2p
pdfs/updated/EN/Act 219.pdf,no_sections_matched,2p
pdfs/updated/EN/ACT 22 - REPRINT 2006.pdf,no_sections_matched,8p
pdfs/updated/EN/Act 223 - repealed by Act 270.pdf,repealed_in_filename,Act 223 - repealed by Act 270
pdfs/updated/EN/Act 224.pdf,no_sections_matched,2p
pdfs/updated/EN/Act 229- repealed by Act 324.pdf,repealed_in_filename,Act 229- repealed by Act 324
pdfs/updated/EN/Act 23-repealed.pdf,repealed_in_filename,Act 23-repealed
pdfs/updated/EN/Act 232-repealed  by Act 468.pdf,repealed_in_filename,Act 232-repealed  by Act 468
pdfs/updated/EN/Act 24-repealed.pdf,repealed_in_filename,Act 24-repealed
pdfs/updated/EN/Act 247_.pdf,needs_ocr,0/22 text pages
pdfs/updated/EN/Act 252 Repealed by Act 470.pdf,repealed_in_filename,Act 252 Repealed by Act 470
pdfs/updated/EN/Act 276 Repealed by Act 759.pdf,repealed_in_filename,Act 276 Repealed by Act 759
pdfs/updated/EN/Act 285 Repealed by Act 567.pdf,repealed_in_filename,Act 285 Repealed by Act 567
pdfs/updated/EN/Act 287 Repealed by Act 502.pdf,repealed_in_filename,Act 287 Repealed by Act 502
pdfs/updated/EN/ACT 296 REPRINT 2006.pdf,needs_ocr,0/26 text pages
pdfs/updated/EN/ACT 310 REPEALED BY ACT 364.pdf,repealed_in_filename,ACT 310 REPEALED BY ACT 364
pdfs/updated/EN/Act 33.pdf,no_sections_matched,9p
pdfs/updated/EN/Act 338 (Repealed).pdf,repealed_in_filename,Act 338 (Repealed)
pdfs/updated/EN/Act 35 Repealed.pdf,repealed_in_filename,Act 35 Repealed
pdfs/updated/EN/Act 363 -Repelaed by Act 572.pdf,no_sections_matched,2p
pdfs/updated/EN/ACT 372.pdf,needs_ocr,0/156 text pages
pdfs/updated/EN/Act 377_REPEAL.pdf,no_sections_matched,1p
pdfs/updated/EN/Act 38 Repealed.pdf,repealed_in_filename,Act 38 Repealed
pdfs/updated/EN/Act 39.pdf,no_sections_matched,11p
pdfs/updated/EN/Act 391.pdf,no_sections_matched,8p
pdfs/updated/EN/Act 394 BI Online Repealed Amendment by Act A837.pdf,repealed_in_filename,Act 394 BI Online Repealed Amendment by Act A837
pdfs/updated/EN/Act 40 Repealed.pdf,repealed_in_filename,Act 40 Repealed
pdfs/updated/EN/Act 401 repealed by act 551.pdf,repealed_in_filename,Act 401 repealed by act 551
pdfs/updated/EN/Act 407 repealed by Act 551.pdf,repealed_in_filename,Act 407 repealed by Act 551
pdfs/updated/EN/Act 41.pdf,no_sections_matched,8p
pdfs/updated/EN/Act 42 Repealed.pdf,repealed_in_filename,Act 42 Repealed
pdfs/updated/EN/Act 43 Repealed.pdf,repealed_in_filename,Act 43 Repealed
pdfs/updated/EN/Act 433 Repealed.pdf,repealed_in_filename,Act 433 Repealed
pdfs/updated/EN/Act 434 Repealed.pdf,repealed_in_filename,Act 434 Repealed
pdfs/updated/EN/Act 437 (Online 2025).pdf,no_sections_matched,1p
pdfs/updated/EN/Act 442 Repealed.pdf,repealed_in_filename,Act 442 Repealed
pdfs/updated/EN/Act 443 Repealed.pdf,repealed_in_filename,Act 443 Repealed
pdfs/updated/EN/Act 46 Repealed.pdf,repealed_in_filename,Act 46 Repealed
pdfs/updated/EN/Act 47 Repealed.pdf,repealed_in_filename,Act 47 Repealed
pdfs/updated/EN/ACT 478.pdf,needs_ocr,0/5 text pages
