category,language,source_url,local_path,size_bytes
"federal_constitution","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/LOM/EN/Federal Constitution (Reprint 2020).pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\federal_constitution\EN\Federal Constitution (Reprint 2020).pdf",1449791
"federal_constitution","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/LOM/MY/Perlembagaan Persekutuan (Cetakan Semula 2020).pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\federal_constitution\MS\Perlembagaan Persekutuan (Cetakan Semula 2020).pdf",1507740
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3435539_BI/Act 880 - CAPITATION GRANT ACT 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 880 - CAPITATION GRANT ACT 2026.pdf",199560
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3435539_BM/Akta 880 - AKTA PEMBERIAN MENGIKUT BILANGAN ORANG 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 880 - AKTA PEMBERIAN MENGIKUT BILANGAN ORANG 2026.pdf",201293
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3424868_BI/Act 879 BI.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 879 BI.pdf",361199
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3424868_BM/Akta 879 BM cover depan.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 879 BM cover depan.pdf",195169
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3356869_BI/Act 878-LEGAL AID AND PUBLIC DEFENCE ACT 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 878-LEGAL AID AND PUBLIC DEFENCE ACT 2026.pdf",528615
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3356869_BM/Akta 878 - AKTA BANTUAN GUAMAN DAN PEMBELAAN AWAM 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 878 - AKTA BANTUAN GUAMAN DAN PEMBELAAN AWAM 2026.pdf",451803
"federal_constitution","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/LOM/EN/Federal Constitution (Reprint 2020).pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\federal_constitution\EN\Federal Constitution (Reprint 2020).pdf",1449791
"federal_constitution","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/LOM/MY/Perlembagaan Persekutuan (Cetakan Semula 2020).pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\federal_constitution\MS\Perlembagaan Persekutuan (Cetakan Semula 2020).pdf",1507740
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3435539_BI/Act 880 - CAPITATION GRANT ACT 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 880 - CAPITATION GRANT ACT 2026.pdf",199560
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/3435539_BM/Akta 880 - AKTA PEMBERIAN MENGIKUT BILANGAN ORANG 2026.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 880 - AKTA PEMBERIAN MENGIKUT BILANGAN ORANG 2026.pdf",201293
